159,Type,Field,Bits,Units,Conversion,Module,ModuleNumber,ModuleLine,ModuleType,ShortName,Description
93,Uint8,ADCS_MTQ_direction_duty_1,8,-,0,None,0,0,0,ADCS_MTQ_direction_duty_1,ADCS_MTQ_direction_duty_1
94,Uint8,ADCS_MTQ_direction_duty_2,8,-,0,None,0,0,0,ADCS_MTQ_direction_duty_2,ADCS_MTQ_direction_duty_2
95,Uint8,ADCS_MTQ_direction_duty_3,8,-,0,None,0,0,0,ADCS_MTQ_direction_duty_3,ADCS_MTQ_direction_duty_3
96,Uint8,ADCS_MTQ_direction_duty_4,8,-,0,None,0,0,0,ADCS_MTQ_direction_duty_4,ADCS_MTQ_direction_duty_4
97,Uint8,ADCS_MTQ_direction_duty_5,8,-,0,None,0,0,0,ADCS_MTQ_direction_duty_5,ADCS_MTQ_direction_duty_5
98,Bit16,ADCS_status,16,-,0,ADCS1,7,4,0,ADCS status,ADCS_status
99,Unit16,ADCS_bus_voltage_0,16,V,80,ADCS1,7,5,0,Bus Voltage 5V,ADCS_bus_voltage_0
100,Unit16,ADCS_bus_voltage_1,16,V,81,ADCS1,7,6,0,Bus Voltage 3V3,ADCS_bus_voltage_1
101,Unit16,ADCS_bus_voltage_2,16,V,82,ADCS1,7,7,0,Bus Voltage 1V5,ADCS_bus_voltage_2
102,Unit16,ADCS_bus_current_0,16,mA,83,ADCS1,7,8,0,Bus Current 5V,ADCS_bus_current_0
103,Unit16,ADCS_bus_current_1,16,mA,84,ADCS1,7,9,0,Bus Current 3V3,ADCS_bus_current_0
104,Unit16,ADCS_bus_current_2,16,mA,85,ADCS1,7,10,0,Bus Current 1V5,ADCS_bus_current_0
105,Uint16,ADCS_board_temperature,16,C,86,ADCS1,7,11,0,Board Temperature,ADCS_board_temperature
106,Uint16,ADCS_ADC_reference,16,-,87,ADCS2,8,1,0,ADCS ADC reference,ADCS_ADC_reference
107,Uint16,ADCS_sensor_current,16,-,88,ADCS2,8,2,0,ADCS sensor current,ADCS_sensor_current
108,Uint16,ADCS_MTQ_current,16,-,89,ADCS2,8,3,0,ADCS MTQ current,ADCS_MTQ_current
109,Uint16,ADCS_array_temperature_0,16,-,90,ADCS2,8,4,0,Array Temperature 0,ADCS_array_temperature_0
110,Uint16,ADCS_array_temperature_1,16,-,91,ADCS2,8,5,0,Array Temperature 1,ADCS_array_temperature_1
111,Uint16,ADCS_array_temperature_2,16,-,92,ADCS2,8,6,0,Array Temperature 2,ADCS_array_temperature_2
112,Uint16,ADCS_array_temperature_3,16,-,93,ADCS2,8,7,0,Array Temperature 3,ADCS_array_temperature_3
113,Uint16,ADCS_array_temperature_4,16,-,94,ADCS2,8,8,0,Array Temperature 4,ADCS_array_temperature_4
114,Uint16,ADCS_array_temperature_5,16,-,95,ADCS2,8,9,0,Array Temperature 5,ADCS_array_temperature_5
115,Uint16,ADCS_CSS_raw_0,16,-,96,ADCS3,14,1,0,ADCS_CSS_raw_0,ADCS_CSS_raw_0
